Fels;#b8b8b8
Feuchtwiese;#caffee
Garten;#a56403
Gewässer;#0d42e1
Magerwiese;#f5e877
Moor;#7ab9d8
Saum;#5c3f13
Siedlung;#797979
Waldschlagvegetation;#a53f03
Wiese/Weide;#97ff2e
